"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"56615","11541","1"
"58440","11128","1"
"60270","13683","1"
"62095","11884","1"
"63920","13348","1"
"65745","11406","1"
"67575","13542","1"
"69400","12676","1"
"71225","12489","1"
"73050","12471","1"
"74880","13862","1"
"76705","13364","1"
"78530","13687","1"
"80355","13628","1"
"82185","12834","1"
"84010","14064","1"
"85835","14892","1"
"87660","15229","1"
"89490","17545","1"
"91315","15337","1"
"93140","15059","1"
"94965","15873","1"
"96795","16541","1"
"98620","15465","1"
"100445","19569","1"
"102270","16508","1"
"104100","16436","1"
"105925","16997","1"
"107750","17211","1"
"56615","12031","2"
"58440","11866","2"
"60270","12166","2"
"62095","12886","2"
"63920","13044","2"
"65745","12831","2"
"67575","11814","2"
"69400","12378","2"
"71225","12054","2"
"73050","14118","2"
"74880","13610","2"
"76705","13445","2"
"78530","15000","2"
"80355","14264","2"
"82185","14894","2"
"84010","14537","2"
"85835","13398","2"
"87660","14745","2"
"89490","14245","2"
"91315","14830","2"
"93140","14732","2"
"94965","13964","2"
"96795","15648","2"
"98620","16239","2"
"100445","15484","2"
"102270","16388","2"
"104100","16868","2"
"105925","17848","2"
"107750","17241","2"
"56615","11605","3"
"58440","11554","3"
"60270","12088","3"
"62095","12819","3"
"63920","12553","3"
"65745","12662","3"
"67575","13468","3"
"69400","12524","3"
"71225","12231","3"
"73050","13153","3"
"74880","13508","3"
"76705","12687","3"
"78530","13216","3"
"80355","14537","3"
"82185","13176","3"
"84010","14296","3"
"85835","14377","3"
"87660","15116","3"
"89490","14281","3"
"91315","14323","3"
"93140","14584","3"
"94965","15382","3"
"96795","15767","3"
"98620","15387","3"
"100445","15335","3"
"102270","15521","3"
"104100","16359","3"
"105925","16427","3"
"107750","17030","3"
"56615","10860","4"
"58440","12028","4"
"60270","12059","4"
"62095","12253","4"
"63920","12368","4"
"65745","12695","4"
"67575","12805","4"
"69400","12613","4"
"71225","13675","4"
"73050","12291","4"
"74880","13033","4"
"76705","12358","4"
"78530","12961","4"
"80355","14162","4"
"82185","12839","4"
"84010","13350","4"
"85835","15494","4"
"87660","14435","4"
"89490","14197","4"
"91315","14803","4"
"93140","15144","4"
"94965","14221","4"
"96795","15346","4"
"98620","15576","4"
"100445","15035","4"
"102270","15703","4"
"104100","16577","4"
"105925","15687","4"
"107750","16919","4"
