"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"1825","7242","0"
"3650","7493","0"
"5480","7956","0"
"7305","8004","0"
"9130","8200","0"
"10955","9373","0"
"12785","8484","0"
"14610","9000","0"
"16435","8730","0"
"18260","9062","0"
"20090","9152","0"
"21915","9382","0"
"23740","9717","0"
"25565","10843","0"
"27395","10351","0"
"29220","11330","0"
"31045","10972","0"
"32870","11239","0"
"34700","10575","0"
"36525","10844","0"
"38350","11069","0"
"40175","11050","0"
"42005","11527","0"
"43830","11646","0"
"45655","13026","0"
"47480","11329","0"
"49310","11563","0"
"51135","11305","0"
"52960","14630","0"
"1825","6494","1"
"3650","7208","1"
"5480","8184","1"
"7305","7196","1"
"9130","7419","1"
"10955","7447","1"
"12785","10250","1"
"14610","8374","1"
"16435","9924","1"
"18260","8096","1"
"20090","8181","1"
"21915","8390","1"
"23740","9387","1"
"25565","9597","1"
"27395","9249","1"
"29220","9216","1"
"31045","10037","1"
"32870","10302","1"
"34700","10044","1"
"36525","9772","1"
"38350","9807","1"
"40175","9881","1"
"42005","9921","1"
"43830","11703","1"
"45655","11391","1"
"47480","11455","1"
"49310","11657","1"
"51135","11230","1"
"52960","11622","1"
"1825","7300","2"
"3650","7294","2"
"5480","8285","2"
"7305","7583","2"
"9130","7211","2"
"10955","7553","2"
"12785","8099","2"
"14610","10954","2"
"16435","8562","2"
"18260","8460","2"
"20090","8842","2"
"21915","9048","2"
"23740","8742","2"
"25565","8749","2"
"27395","9482","2"
"29220","9472","2"
"31045","9842","2"
"32870","10459","2"
"34700","10230","2"
"36525","10963","2"
"38350","10667","2"
"40175","11557","2"
"42005","9806","2"
"43830","10728","2"
"45655","11183","2"
"47480","9985","2"
"49310","11245","2"
"51135","11365","2"
"52960","11364","2"
"1825","8890","3"
"3650","8629","3"
"5480","7110","3"
"7305","7652","3"
"9130","7913","3"
"10955","8099","3"
"12785","7790","3"
"14610","8302","3"
"16435","8260","3"
"18260","10010","3"
"20090","8730","3"
"21915","9036","3"
"23740","8640","3"
"25565","9724","3"
"27395","9887","3"
"29220","9291","3"
"31045","9850","3"
"32870","10427","3"
"34700","10863","3"
"36525","10484","3"
"38350","10536","3"
"40175","10971","3"
"42005","10611","3"
"43830","10933","3"
"45655","11555","3"
"47480","11667","3"
"49310","11364","3"
"51135","12547","3"
"52960","11268","3"
"1825","7299","4"
"3650","7424","4"
"5480","7014","4"
"7305","7885","4"
"9130","7881","4"
"10955","7927","4"
"12785","7762","4"
"14610","8210","4"
"16435","8954","4"
"18260","9981","4"
"20090","8017","4"
"21915","8248","4"
"23740","9474","4"
"25565","9792","4"
"27395","8887","4"
"29220","9529","4"
"31045","8798","4"
"32870","10160","4"
"34700","9815","4"
"36525","10030","4"
"38350","10544","4"
"40175","10857","4"
"42005","10801","4"
"43830","10002","4"
"45655","9949","4"
"47480","11463","4"
"49310","11885","4"
"51135","11380","4"
"52960","11899","4"
