"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"1825","7511","0"
"3650","7261","0"
"5480","7656","0"
"7305","7840","0"
"9130","8206","0"
"10955","8561","0"
"12785","8402","0"
"14610","8830","0"
"16435","9652","0"
"18260","9256","0"
"20090","10306","0"
"21915","9529","0"
"23740","10027","0"
"25565","9726","0"
"27395","9973","0"
"29220","10524","0"
"31045","10210","0"
"32870","10778","0"
"34700","10338","0"
"36525","10734","0"
"38350","10710","0"
"40175","10789","0"
"42005","11161","0"
"43830","10945","0"
"45655","11626","0"
"47480","12293","0"
"49310","11500","0"
"51135","11956","0"
"52960","12327","0"
"1825","6480","1"
"3650","6951","1"
"5480","7867","1"
"7305","7326","1"
"9130","7201","1"
"10955","7244","1"
"12785","7795","1"
"14610","7689","1"
"16435","8646","1"
"18260","8365","1"
"20090","9292","1"
"21915","7814","1"
"23740","7946","1"
"25565","9086","1"
"27395","10034","1"
"29220","9221","1"
"31045","9552","1"
"32870","9037","1"
"34700","9057","1"
"36525","9894","1"
"38350","10835","1"
"40175","9899","1"
"42005","10633","1"
"43830","10574","1"
"45655","11130","1"
"47480","11221","1"
"49310","11166","1"
"51135","11683","1"
"52960","11231","1"
"1825","7071","2"
"3650","6849","2"
"5480","8144","2"
"7305","7674","2"
"9130","7110","2"
"10955","8045","2"
"12785","7859","2"
"14610","7450","2"
"16435","8458","2"
"18260","8234","2"
"20090","8937","2"
"21915","9566","2"
"23740","9114","2"
"25565","9835","2"
"27395","8893","2"
"29220","9305","2"
"31045","9650","2"
"32870","9664","2"
"34700","9724","2"
"36525","9770","2"
"38350","9433","2"
"40175","10201","2"
"42005","10040","2"
"43830","10872","2"
"45655","10677","2"
"47480","10990","2"
"49310","11656","2"
"51135","11944","2"
"52960","11612","2"
"1825","6921","3"
"3650","6892","3"
"5480","8039","3"
"7305","7373","3"
"9130","8107","3"
"10955","7330","3"
"12785","7493","3"
"14610","7833","3"
"16435","8656","3"
"18260","8503","3"
"20090","9061","3"
"21915","8436","3"
"23740","10033","3"
"25565","8999","3"
"27395","9219","3"
"29220","8785","3"
"31045","9018","3"
"32870","9581","3"
"34700","9269","3"
"36525","10086","3"
"38350","10638","3"
"40175","9978","3"
"42005","10582","3"
"43830","10524","3"
"45655","12112","3"
"47480","11579","3"
"49310","10860","3"
"51135","11038","3"
"52960","11374","3"
"1825","6975","4"
"3650","7034","4"
"5480","7277","4"
"7305","7059","4"
"9130","7884","4"
"10955","7992","4"
"12785","8236","4"
"14610","7723","4"
"16435","8359","4"
"18260","8472","4"
"20090","7980","4"
"21915","8780","4"
"23740","8744","4"
"25565","8778","4"
"27395","8914","4"
"29220","9423","4"
"31045","9553","4"
"32870","8794","4"
"34700","9667","4"
"36525","10557","4"
"38350","10559","4"
"40175","10515","4"
"42005","10118","4"
"43830","10910","4"
"45655","12447","4"
"47480","10431","4"
"49310","11050","4"
"51135","12183","4"
"52960","12579","4"
