"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"1825","7297","0"
"3650","7472","0"
"5480","7865","0"
"7305","7895","0"
"9130","8072","0"
"10955","8559","0"
"12785","8114","0"
"14610","9026","0"
"16435","10095","0"
"18260","9049","0"
"20090","9898","0"
"21915","9484","0"
"23740","9570","0"
"25565","10182","0"
"27395","10050","0"
"29220","9844","0"
"31045","10248","0"
"32870","10609","0"
"34700","10787","0"
"36525","12281","0"
"38350","12893","0"
"40175","13489","0"
"42005","11916","0"
"43830","6679","0"
"45655","11408","0"
"47480","12645","0"
"49310","12471","0"
"51135","12015","0"
"52960","11739","0"
"1825","6555","1"
"3650","6958","1"
"5480","6921","1"
"7305","7181","1"
"9130","6848","1"
"10955","8266","1"
"12785","7547","1"
"14610","8569","1"
"16435","7443","1"
"18260","8698","1"
"20090","8147","1"
"21915","8432","1"
"23740","8129","1"
"25565","10038","1"
"27395","9258","1"
"29220","9081","1"
"31045","10072","1"
"32870","9171","1"
"34700","9857","1"
"36525","9662","1"
"38350","9378","1"
"40175","9886","1"
"42005","10188","1"
"43830","11254","1"
"45655","10159","1"
"47480","11279","1"
"49310","11861","1"
"51135","10999","1"
"52960","10781","1"
"1825","6834","2"
"3650","6992","2"
"5480","7092","2"
"7305","7092","2"
"9130","7102","2"
"10955","7418","2"
"12785","8487","2"
"14610","8014","2"
"16435","8191","2"
"18260","8042","2"
"20090","8676","2"
"21915","7986","2"
"23740","9047","2"
"25565","10047","2"
"27395","9275","2"
"29220","9998","2"
"31045","9276","2"
"32870","9050","2"
"34700","9606","2"
"36525","10113","2"
"38350","10457","2"
"40175","10563","2"
"42005","9912","2"
"43830","9730","2"
"45655","11586","2"
"47480","10785","2"
"49310","11733","2"
"51135","11178","2"
"52960","11294","2"
"1825","6871","3"
"3650","7152","3"
"5480","6825","3"
"7305","7414","3"
"9130","8204","3"
"10955","7379","3"
"12785","8090","3"
"14610","8137","3"
"16435","7937","3"
"18260","8389","3"
"20090","8012","3"
"21915","9104","3"
"23740","8765","3"
"25565","8539","3"
"27395","8481","3"
"29220","9023","3"
"31045","9036","3"
"32870","10558","3"
"34700","9643","3"
"36525","10756","3"
"38350","10767","3"
"40175","10120","3"
"42005","10116","3"
"43830","11002","3"
"45655","11038","3"
"47480","11077","3"
"49310","12553","3"
"51135","11047","3"
"52960","11236","3"
"1825","7045","4"
"3650","7151","4"
"5480","7197","4"
"7305","7956","4"
"9130","7786","4"
"10955","7391","4"
"12785","8619","4"
"14610","8600","4"
"16435","8473","4"
"18260","8696","4"
"20090","8049","4"
"21915","8551","4"
"23740","8873","4"
"25565","8993","4"
"27395","9302","4"
"29220","9430","4"
"31045","9273","4"
"32870","9436","4"
"34700","9812","4"
"36525","10422","4"
"38350","10560","4"
"40175","10224","4"
"42005","10898","4"
"43830","9732","4"
"45655","9971","4"
"47480","11132","4"
"49310","11577","4"
"51135","11455","4"
"52960","10822","4"
