Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Kazakhstan,33.5,13.6,24.0,31.9,29.7,36.8
Sri Lanka,33.2,6.0,20.3,44.6,16.7,14.4
Mongolia,32.7,11.0,22.4,37.2,21.9,23.5
Kosovo (Disputed Territory),31.3,8.5,20.5,29.3,20.7,34.8
Azerbaijan,31.1,8.1,20.2,28.4,30.1,29.4
Peru,30.9,9.7,20.8,30.7,21.4,27.3
Namibia,30.8,10.4,21.1,30.0,27.4,51.4
Vietnam,30.8,9.7,20.8,34.6,14.9,32.5
Colombia,30.6,8.8,20.3,30.6,20.9,28.1
Malaysia,30.5,8.2,19.9,35.4,18.3,62.1
Uganda,30.4,7.3,19.4,27.8,21.7,15.2
Iraq,30.2,8.2,19.8,27.4,20.7,42.0
Botswana,30.1,6.1,18.7,27.3,22.5,56.5
Morocco,29.9,7.8,19.4,28.8,19.3,30.4
Algeria,29.5,4.1,17.5,35.6,13.1,25.4
Russia,29.5,9.9,20.2,25.9,26.2,41.5
Egypt,29.1,5.5,17.9,27.8,21.7,15.2
Somalia,29.0,4.5,17.4,30.9,23.6,30.5
Tunisia,28.7,5.0,17.4,30.0,15.2,25.7
Ukraine,28.6,8.5,19.0,26.6,22.2,32.2
Indonesia,28.5,8.3,18.9,33.6,14.4,25.8
Bolivia,28.3,7.4,18.4,25.9,19.7,32.3
Argentina,27.8,6.8,17.8,25.6,23.6,35.8
Paraguay,27.6,10.5,19.5,24.9,19.1,28.1
Uzbekistan,27.1,12.1,20.0,27.8,20.1,28.0
Belarus,27.1,8.2,18.2,24.4,25.3,39.6
Nepal,26.9,4.0,16.1,24.8,17.6,20.3
Iran,26.9,8.9,18.4,21.5,16.5,21.2
Kyrgyzstan,26.9,11.1,19.4,25.9,20.0,24.5
Rwanda,26.3,9.5,18.3,26.1,19.1,21.7
Tanzania,26.0,8.0,17.5,25.8,20.3,21.6
Ghana,26.0,11.0,18.8,27.2,22.9,14.8
Madagascar,25.2,8.0,17.0,23.6,13.7,12.3
Syria,25.0,4.1,15.1,23.5,16.5,4.7
Bangladesh,24.9,2.7,14.4,26.6,14.0,25.8
Kenya,24.8,7.1,16.4,23.8,18.3,30.6
Afghanistan,22.8,2.8,13.3,17.3,13.0,22.4
India,22.2,6.2,14.6,23.5,15.6,60.7
Libya,21.2,4.4,13.3,21.5,15.2,33.7
Nigeria,19.3,15.4,17.4,21.4,13.3,9.4
Pakistan,18.5,2.9,11.1,16.4,12.7,24.5
