"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"1825","15","2"
"3650","12","2"
"5475","15","2"
"7300","18","2"
"9125","18","2"
"10950","14","2"
"12775","22","2"
"14600","18","2"
"16425","15","2"
"18250","19","2"
"20075","18","2"
"21900","18","2"
"23725","21","2"
"25550","20","2"
"27375","23","2"
"29200","21","2"
"31025","23","2"
"32850","21","2"
"34675","23","2"
"36500","23","2"
"38325","25","2"
"40150","24","2"
"41975","26","2"
"43800","28","2"
"45625","25","2"
"47450","27","2"
"49275","27","2"
"51100","28","2"
"52925","35","2"
"1825","13","3"
"3650","14","3"
"5475","15","3"
"7300","14","3"
"9125","15","3"
"10950","16","3"
"12775","16","3"
"14600","16","3"
"16425","16","3"
"18250","15","3"
"20075","16","3"
"21900","18","3"
"23725","19","3"
"25550","19","3"
"27375","19","3"
"29200","19","3"
"31025","22","3"
"32850","19","3"
"34675","21","3"
"36500","19","3"
"38325","27","3"
"40150","25","3"
"41975","24","3"
"43800","26","3"
"45625","24","3"
"47450","32","3"
"49275","25","3"
"51100","28","3"
"52925","26","3"
"1825","15","4"
"3650","16","4"
"5475","17","4"
"7300","16","4"
"9125","16","4"
"10950","15","4"
"12775","17","4"
"14600","15","4"
"16425","19","4"
"18250","18","4"
"20075","18","4"
"21900","17","4"
"23725","18","4"
"25550","18","4"
"27375","18","4"
"29200","18","4"
"31025","21","4"
"32850","21","4"
"34675","21","4"
"36500","25","4"
"38325","26","4"
"40150","25","4"
"41975","23","4"
"43800","21","4"
"45625","23","4"
"47450","22","4"
"49275","24","4"
"51100","25","4"
"52925","22","4"
