"cantidad_de_datos","tiempo_en_milisegundos"
"1825","5"
"3650","7"
"5475","8"
"7300","8"
"9125","10"
"10950","11"
"12775","11"
"14600","12"
"16425","16"
"18250","15"
"20075","17"
"21900","18"
"23725","20"
"25550","19"
"27375","20"
"29200","20"
"31025","21"
"32850","21"
"34675","23"
"36500","23"
"38325","24"
"40150","25"
"41975","30"
"43800","27"
"45625","28"
"47450","29"
"49275","30"
"51100","31"
"52925","31"
