"cantidad_de_datos","tiempo_en_milisegundos"
"1825","7"
"3650","8"
"5475","9"
"7300","8"
"9125","10"
"10950","14"
"12775","14"
"14600","14"
"16425","13"
"18250","16"
"20075","17"
"21900","16"
"23725","17"
"25550","18"
"27375","19"
"29200","22"
"31025","21"
"32850","22"
"34675","23"
"36500","24"
"38325","24"
"40150","26"
"41975","26"
"43800","28"
"45625","28"
"47450","30"
"49275","30"
"51100","32"
"52925","33"
