"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"1825","13","2"
"3650","13","2"
"5475","15","2"
"7300","14","2"
"9125","15","2"
"10950","15","2"
"12775","16","2"
"14600","16","2"
"16425","19","2"
"18250","21","2"
"20075","23","2"
"21900","28","2"
"23725","24","2"
"25550","20","2"
"27375","23","2"
"29200","23","2"
"31025","26","2"
"32850","31","2"
"34675","28","2"
"36500","23","2"
"38325","32","2"
"40150","26","2"
"41975","26","2"
"43800","27","2"
"45625","25","2"
"47450","29","2"
"49275","44","2"
"51100","53","2"
"52925","38","2"
"1825","17","3"
"3650","21","3"
"5475","17","3"
"7300","19","3"
"9125","19","3"
"10950","23","3"
"12775","20","3"
"14600","21","3"
"16425","21","3"
"18250","16","3"
"20075","20","3"
"21900","17","3"
"23725","18","3"
"25550","20","3"
"27375","17","3"
"29200","19","3"
"31025","23","3"
"32850","21","3"
"34675","23","3"
"36500","22","3"
"38325","25","3"
"40150","24","3"
"41975","23","3"
"43800","22","3"
"45625","23","3"
"47450","25","3"
"49275","23","3"
"51100","22","3"
"52925","24","3"
"1825","15","4"
"3650","20","4"
"5475","17","4"
"7300","15","4"
"9125","16","4"
"10950","20","4"
"12775","18","4"
"14600","18","4"
"16425","18","4"
"18250","16","4"
"20075","20","4"
"21900","23","4"
"23725","22","4"
"25550","19","4"
"27375","20","4"
"29200","22","4"
"31025","21","4"
"32850","20","4"
"34675","20","4"
"36500","20","4"
"38325","21","4"
"40150","21","4"
"41975","22","4"
"43800","22","4"
"45625","25","4"
"47450","23","4"
"49275","25","4"
"51100","24","4"
"52925","32","4"
