"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"1825","43","2"
"3650","25","2"
"5475","20","2"
"7300","23","2"
"9125","23","2"
"10950","20","2"
"12775","19","2"
"14600","18","2"
"16425","22","2"
"18250","20","2"
"20075","21","2"
"21900","21","2"
"23725","21","2"
"25550","22","2"
"27375","21","2"
"29200","23","2"
"31025","23","2"
"32850","26","2"
"34675","28","2"
"36500","24","2"
"38325","24","2"
"40150","28","2"
"41975","27","2"
"43800","26","2"
"45625","25","2"
"47450","27","2"
"49275","26","2"
"51100","29","2"
"52925","28","2"
"1825","14","3"
"3650","13","3"
"5475","14","3"
"7300","15","3"
"9125","15","3"
"10950","14","3"
"12775","16","3"
"14600","16","3"
"16425","16","3"
"18250","16","3"
"20075","18","3"
"21900","16","3"
"23725","19","3"
"25550","21","3"
"27375","17","3"
"29200","20","3"
"31025","19","3"
"32850","18","3"
"34675","20","3"
"36500","23","3"
"38325","22","3"
"40150","20","3"
"41975","23","3"
"43800","23","3"
"45625","22","3"
"47450","24","3"
"49275","22","3"
"51100","23","3"
"52925","23","3"
"1825","14","4"
"3650","13","4"
"5475","14","4"
"7300","14","4"
"9125","14","4"
"10950","14","4"
"12775","15","4"
"14600","16","4"
"16425","15","4"
"18250","18","4"
"20075","19","4"
"21900","18","4"
"23725","16","4"
"25550","16","4"
"27375","18","4"
"29200","20","4"
"31025","19","4"
"32850","18","4"
"34675","20","4"
"36500","19","4"
"38325","20","4"
"40150","19","4"
"41975","20","4"
"43800","21","4"
"45625","23","4"
"47450","22","4"
"49275","23","4"
"51100","23","4"
"52925","24","4"
