"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"1825","18","1"
"3650","19","1"
"5475","20","1"
"7300","22","1"
"9125","23","1"
"10950","22","1"
"12775","22","1"
"14600","22","1"
"16425","22","1"
"18250","25","1"
"20075","25","1"
"21900","26","1"
"23725","30","1"
"25550","30","1"
"27375","31","1"
"29200","30","1"
"31025","34","1"
"32850","34","1"
"34675","33","1"
"36500","37","1"
"38325","37","1"
"40150","38","1"
"41975","38","1"
"43800","39","1"
"45625","40","1"
"47450","43","1"
"49275","43","1"
"51100","43","1"
"52925","43","1"
"1825","13","2"
"3650","13","2"
"5475","14","2"
"7300","16","2"
"9125","16","2"
"10950","17","2"
"12775","18","2"
"14600","18","2"
"16425","19","2"
"18250","19","2"
"20075","23","2"
"21900","21","2"
"23725","21","2"
"25550","23","2"
"27375","22","2"
"29200","27","2"
"31025","32","2"
"32850","35","2"
"34675","32","2"
"36500","34","2"
"38325","37","2"
"40150","35","2"
"41975","36","2"
"43800","33","2"
"45625","36","2"
"47450","37","2"
"49275","40","2"
"51100","37","2"
"52925","41","2"
"1825","12","3"
"3650","13","3"
"5475","11","3"
"7300","12","3"
"9125","13","3"
"10950","14","3"
"12775","14","3"
"14600","14","3"
"16425","16","3"
"18250","15","3"
"20075","16","3"
"21900","17","3"
"23725","16","3"
"25550","18","3"
"27375","19","3"
"29200","19","3"
"31025","20","3"
"32850","20","3"
"34675","21","3"
"36500","23","3"
"38325","22","3"
"40150","24","3"
"41975","24","3"
"43800","31","3"
"45625","38","3"
"47450","34","3"
"49275","35","3"
"51100","33","3"
"52925","34","3"
"1825","14","4"
"3650","15","4"
"5475","13","4"
"7300","16","4"
"9125","15","4"
"10950","17","4"
"12775","16","4"
"14600","14","4"
"16425","17","4"
"18250","18","4"
"20075","20","4"
"21900","20","4"
"23725","20","4"
"25550","21","4"
"27375","20","4"
"29200","21","4"
"31025","26","4"
"32850","25","4"
"34675","25","4"
"36500","23","4"
"38325","26","4"
"40150","24","4"
"41975","28","4"
"43800","27","4"
"45625","29","4"
"47450","29","4"
"49275","29","4"
"51100","43","4"
"52925","40","4"
