"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"1825","27","1"
"3650","22","1"
"5475","27","1"
"7300","24","1"
"9125","27","1"
"10950","27","1"
"12775","28","1"
"14600","26","1"
"16425","30","1"
"18250","30","1"
"20075","32","1"
"21900","33","1"
"23725","31","1"
"25550","32","1"
"27375","34","1"
"29200","34","1"
"31025","36","1"
"32850","41","1"
"34675","48","1"
"36500","44","1"
"38325","47","1"
"40150","47","1"
"41975","47","1"
"43800","45","1"
"45625","46","1"
"47450","47","1"
"49275","45","1"
"51100","46","1"
"52925","47","1"
"1825","13","2"
"3650","15","2"
"5475","15","2"
"7300","17","2"
"9125","17","2"
"10950","17","2"
"12775","19","2"
"14600","19","2"
"16425","21","2"
"18250","24","2"
"20075","22","2"
"21900","23","2"
"23725","25","2"
"25550","25","2"
"27375","28","2"
"29200","34","2"
"31025","30","2"
"32850","26","2"
"34675","28","2"
"36500","29","2"
"38325","30","2"
"40150","31","2"
"41975","32","2"
"43800","32","2"
"45625","32","2"
"47450","33","2"
"49275","33","2"
"51100","33","2"
"52925","35","2"
"1825","10","3"
"3650","11","3"
"5475","11","3"
"7300","12","3"
"9125","13","3"
"10950","12","3"
"12775","14","3"
"14600","13","3"
"16425","16","3"
"18250","15","3"
"20075","16","3"
"21900","18","3"
"23725","17","3"
"25550","18","3"
"27375","19","3"
"29200","19","3"
"31025","21","3"
"32850","22","3"
"34675","22","3"
"36500","23","3"
"38325","25","3"
"40150","24","3"
"41975","26","3"
"43800","25","3"
"45625","39","3"
"47450","38","3"
"49275","33","3"
"51100","39","3"
"52925","35","3"
"1825","12","4"
"3650","12","4"
"5475","15","4"
"7300","13","4"
"9125","16","4"
"10950","19","4"
"12775","15","4"
"14600","17","4"
"16425","18","4"
"18250","18","4"
"20075","18","4"
"21900","20","4"
"23725","19","4"
"25550","19","4"
"27375","20","4"
"29200","21","4"
"31025","21","4"
"32850","22","4"
"34675","24","4"
"36500","22","4"
"38325","27","4"
"40150","24","4"
"41975","27","4"
"43800","28","4"
"45625","27","4"
"47450","27","4"
"49275","29","4"
"51100","38","4"
"52925","40","4"
