"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"1825","26","1"
"3650","23","1"
"5475","27","1"
"7300","33","1"
"9125","28","1"
"10950","30","1"
"12775","29","1"
"14600","28","1"
"16425","29","1"
"18250","29","1"
"20075","31","1"
"21900","32","1"
"23725","33","1"
"25550","32","1"
"27375","34","1"
"29200","35","1"
"31025","36","1"
"32850","38","1"
"34675","53","1"
"36500","46","1"
"38325","49","1"
"40150","48","1"
"41975","47","1"
"43800","45","1"
"45625","46","1"
"47450","45","1"
"49275","45","1"
"51100","46","1"
"52925","47","1"
"1825","13","2"
"3650","16","2"
"5475","15","2"
"7300","16","2"
"9125","17","2"
"10950","18","2"
"12775","19","2"
"14600","20","2"
"16425","21","2"
"18250","24","2"
"20075","22","2"
"21900","21","2"
"23725","24","2"
"25550","24","2"
"27375","25","2"
"29200","26","2"
"31025","27","2"
"32850","29","2"
"34675","29","2"
"36500","30","2"
"38325","30","2"
"40150","30","2"
"41975","32","2"
"43800","34","2"
"45625","32","2"
"47450","33","2"
"49275","34","2"
"51100","32","2"
"52925","37","2"
"1825","11","3"
"3650","11","3"
"5475","12","3"
"7300","11","3"
"9125","12","3"
"10950","12","3"
"12775","14","3"
"14600","14","3"
"16425","14","3"
"18250","16","3"
"20075","15","3"
"21900","16","3"
"23725","18","3"
"25550","18","3"
"27375","18","3"
"29200","20","3"
"31025","19","3"
"32850","20","3"
"34675","20","3"
"36500","21","3"
"38325","23","3"
"40150","26","3"
"41975","24","3"
"43800","25","3"
"45625","26","3"
"47450","34","3"
"49275","37","3"
"51100","34","3"
"52925","35","3"
"1825","12","4"
"3650","12","4"
"5475","16","4"
"7300","14","4"
"9125","17","4"
"10950","17","4"
"12775","15","4"
"14600","18","4"
"16425","19","4"
"18250","18","4"
"20075","18","4"
"21900","19","4"
"23725","19","4"
"25550","21","4"
"27375","20","4"
"29200","21","4"
"31025","22","4"
"32850","25","4"
"34675","27","4"
"36500","24","4"
"38325","27","4"
"40150","28","4"
"41975","26","4"
"43800","29","4"
"45625","29","4"
"47450","29","4"
"49275","29","4"
"51100","32","4"
"52925","47","4"
