"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"1825","17","2"
"3650","15","2"
"5475","13","2"
"7300","15","2"
"9125","18","2"
"10950","15","2"
"12775","18","2"
"14600","18","2"
"16425","21","2"
"18250","21","2"
"20075","23","2"
"21900","23","2"
"23725","25","2"
"25550","22","2"
"27375","25","2"
"29200","22","2"
"31025","23","2"
"32850","26","2"
"34675","22","2"
"36500","25","2"
"38325","26","2"
"40150","23","2"
"41975","28","2"
"43800","28","2"
"45625","27","2"
"47450","27","2"
"49275","25","2"
"51100","31","2"
"52925","31","2"
"1825","15","3"
"3650","15","3"
"5475","13","3"
"7300","15","3"
"9125","14","3"
"10950","15","3"
"12775","14","3"
"14600","17","3"
"16425","16","3"
"18250","24","3"
"20075","16","3"
"21900","19","3"
"23725","18","3"
"25550","19","3"
"27375","20","3"
"29200","19","3"
"31025","20","3"
"32850","20","3"
"34675","39","3"
"36500","21","3"
"38325","24","3"
"40150","22","3"
"41975","23","3"
"43800","22","3"
"45625","22","3"
"47450","23","3"
"49275","22","3"
"51100","23","3"
"52925","24","3"
"1825","13","4"
"3650","16","4"
"5475","16","4"
"7300","15","4"
"9125","17","4"
"10950","19","4"
"12775","19","4"
"14600","19","4"
"16425","18","4"
"18250","18","4"
"20075","19","4"
"21900","20","4"
"23725","25","4"
"25550","20","4"
"27375","21","4"
"29200","22","4"
"31025","21","4"
"32850","23","4"
"34675","20","4"
"36500","20","4"
"38325","22","4"
"40150","21","4"
"41975","23","4"
"43800","36","4"
"45625","41","4"
"47450","40","4"
"49275","37","4"
"51100","43","4"
"52925","34","4"
