nodos_threadpool,cantidad_de_datos,tiempo_en_milisegundos
2,1825,20.4
2,3650,15.8
2,5475,15.4
2,7300,17.0
2,9125,18.0
2,10950,16.0
2,12775,18.6
2,14600,17.2
2,16425,19.0
2,18250,19.8
2,20075,20.8
2,21900,21.8
2,23725,22.0
2,25550,21.2
2,27375,22.6
2,29200,21.6
2,31025,23.8
2,32850,25.6
2,34675,24.6
2,36500,23.4
2,38325,26.4
2,40150,25.0
2,41975,26.4
2,43800,26.8
2,45625,25.6
2,47450,27.0
2,49275,29.6
2,51100,33.4
2,52925,31.6
3,1825,14.4
3,3650,15.2
3,5475,14.4
3,7300,15.0
3,9125,15.4
3,10950,16.2
3,12775,16.6
3,14600,17.0
3,16425,17.0
3,18250,17.2
3,20075,17.2
3,21900,17.2
3,23725,20.0
3,25550,20.0
3,27375,18.4
3,29200,19.4
3,31025,21.4
3,32850,19.8
3,34675,24.8
3,36500,21.0
3,38325,23.8
3,40150,22.4
3,41975,23.4
3,43800,25.8
3,45625,23.4
3,47450,25.6
3,49275,23.4
3,51100,24.4
3,52925,24.4
4,1825,14.0
4,3650,16.0
4,5475,16.4
4,7300,15.4
4,9125,16.0
4,10950,17.2
4,12775,18.4
4,14600,18.6
4,16425,17.4
4,18250,17.6
4,20075,19.8
4,21900,19.2
4,23725,19.8
4,25550,18.6
4,27375,19.2
4,29200,21.0
4,31025,21.4
4,32850,21.0
4,34675,22.6
4,36500,20.8
4,38325,22.0
4,40150,22.4
4,41975,23.0
4,43800,26.8
4,45625,28.4
4,47450,27.8
4,49275,29.0
4,51100,29.2
4,52925,27.6
