"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"1825","14","2"
"3650","14","2"
"5475","14","2"
"7300","15","2"
"9125","16","2"
"10950","16","2"
"12775","18","2"
"14600","16","2"
"16425","18","2"
"18250","18","2"
"20075","19","2"
"21900","19","2"
"23725","19","2"
"25550","22","2"
"27375","21","2"
"29200","19","2"
"31025","24","2"
"32850","24","2"
"34675","22","2"
"36500","22","2"
"38325","25","2"
"40150","24","2"
"41975","25","2"
"43800","25","2"
"45625","26","2"
"47450","25","2"
"49275","26","2"
"51100","26","2"
"52925","26","2"
"1825","13","3"
"3650","13","3"
"5475","13","3"
"7300","12","3"
"9125","14","3"
"10950","13","3"
"12775","17","3"
"14600","15","3"
"16425","16","3"
"18250","15","3"
"20075","16","3"
"21900","16","3"
"23725","26","3"
"25550","21","3"
"27375","19","3"
"29200","20","3"
"31025","23","3"
"32850","21","3"
"34675","21","3"
"36500","20","3"
"38325","21","3"
"40150","21","3"
"41975","24","3"
"43800","36","3"
"45625","26","3"
"47450","24","3"
"49275","25","3"
"51100","26","3"
"52925","25","3"
"1825","13","4"
"3650","15","4"
"5475","18","4"
"7300","17","4"
"9125","17","4"
"10950","18","4"
"12775","23","4"
"14600","25","4"
"16425","17","4"
"18250","18","4"
"20075","23","4"
"21900","18","4"
"23725","18","4"
"25550","20","4"
"27375","19","4"
"29200","23","4"
"31025","25","4"
"32850","23","4"
"34675","32","4"
"36500","20","4"
"38325","21","4"
"40150","26","4"
"41975","27","4"
"43800","34","4"
"45625","30","4"
"47450","32","4"
"49275","36","4"
"51100","31","4"
"52925","26","4"
