"cantidad_de_datos","tiempo_en_milisegundos"
"1825","5"
"3650","7"
"5475","8"
"7300","10"
"9125","11"
"10950","12"
"12775","14"
"14600","17"
"16425","17"
"18250","16"
"20075","15"
"21900","16"
"23725","18"
"25550","21"
"27375","22"
"29200","22"
"31025","21"
"32850","22"
"34675","27"
"36500","25"
"38325","25"
"40150","27"
"41975","29"
"43800","28"
"45625","29"
"47450","35"
"49275","34"
"51100","38"
"52925","40"
