"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"1825","28","1"
"3650","23","1"
"5475","27","1"
"7300","28","1"
"9125","28","1"
"10950","28","1"
"12775","27","1"
"14600","30","1"
"16425","32","1"
"18250","31","1"
"20075","31","1"
"21900","33","1"
"23725","35","1"
"25550","33","1"
"27375","35","1"
"29200","35","1"
"31025","37","1"
"32850","49","1"
"34675","47","1"
"36500","43","1"
"38325","45","1"
"40150","44","1"
"41975","46","1"
"43800","44","1"
"45625","44","1"
"47450","44","1"
"49275","46","1"
"51100","47","1"
"52925","47","1"
"1825","15","2"
"3650","15","2"
"5475","16","2"
"7300","16","2"
"9125","17","2"
"10950","17","2"
"12775","18","2"
"14600","19","2"
"16425","20","2"
"18250","21","2"
"20075","24","2"
"21900","22","2"
"23725","23","2"
"25550","25","2"
"27375","26","2"
"29200","25","2"
"31025","28","2"
"32850","28","2"
"34675","29","2"
"36500","29","2"
"38325","30","2"
"40150","31","2"
"41975","31","2"
"43800","32","2"
"45625","34","2"
"47450","32","2"
"49275","33","2"
"51100","38","2"
"52925","41","2"
"1825","11","3"
"3650","12","3"
"5475","12","3"
"7300","15","3"
"9125","16","3"
"10950","16","3"
"12775","18","3"
"14600","20","3"
"16425","16","3"
"18250","17","3"
"20075","16","3"
"21900","16","3"
"23725","18","3"
"25550","18","3"
"27375","19","3"
"29200","19","3"
"31025","19","3"
"32850","21","3"
"34675","21","3"
"36500","23","3"
"38325","22","3"
"40150","23","3"
"41975","25","3"
"43800","25","3"
"45625","37","3"
"47450","38","3"
"49275","37","3"
"51100","32","3"
"52925","31","3"
"1825","12","4"
"3650","15","4"
"5475","12","4"
"7300","15","4"
"9125","14","4"
"10950","16","4"
"12775","14","4"
"14600","17","4"
"16425","17","4"
"18250","15","4"
"20075","18","4"
"21900","18","4"
"23725","19","4"
"25550","20","4"
"27375","22","4"
"29200","25","4"
"31025","21","4"
"32850","21","4"
"34675","22","4"
"36500","24","4"
"38325","25","4"
"40150","25","4"
"41975","29","4"
"43800","29","4"
"45625","28","4"
"47450","31","4"
"49275","30","4"
"51100","44","4"
"52925","40","4"
