"cantidad_de_datos","tiempo_en_milisegundos"
"1825","7"
"3650","9"
"5475","10"
"7300","12"
"9125","12"
"10950","12"
"12775","14"
"14600","16"
"16425","18"
"18250","18"
"20075","20"
"21900","18"
"23725","19"
"25550","24"
"27375","24"
"29200","23"
"31025","25"
"32850","26"
"34675","24"
"36500","27"
"38325","32"
"40150","33"
"41975","34"
"43800","36"
"45625","33"
"47450","32"
"49275","34"
"51100","34"
"52925","34"
